fraud_bool,income,name_email_similarity,prev_address_months_count,current_address_months_count,customer_age,days_since_request,intended_balcon_amount,cat_payment_type,zip_count_4w,velocity_6h,velocity_24h,velocity_4w,bank_branch_count_8w,birth_distinct_emails_4w,cat_employment_status,credit_risk_score,email_is_free,cat_housing_status,phone_home_valid,phone_mobile_valid,bank_months_count,has_other_cards,proposed_credit_limit,foreign_request,cat_source,session_length_in_minutes,cat_device_os,keep_alive_session,device_distinct_emails_8w,device_fraud_count,month
1,0.9,0.2262672043058631,-1,5,50,1.3054579468048757,-0.8102041584248272,AC,2295,4737.283560305994,3411.9942535964196,3771.104395000201,1,11,CA,166,1,BC,0,1,-1,0,1000.0,0,INTERNET,8.472408090067804,macintosh,0,1,0,6
1,0.9,0.8662065623149249,-1,85,50,0.006456120624679925,-0.8061042163220802,AB,930,4691.830642092082,2403.376127087532,3735.8528625274603,17,2,CA,213,0,BA,1,1,30,0,2000.0,0,INTERNET,7.299516264517478,windows,0,1,0,6
1,0.8,0.706329497468191,-1,363,50,0.02199281882608706,-1.0484645966411663,AD,703,5828.030970958621,4505.652229460962,5435.3185308095835,850,4,CA,318,1,BA,1,1,10,0,1500.0,0,INTERNET,1.3381195394488692,windows,0,1,0,1
1,0.9,0.670239174885089,-1,179,50,0.016408791792946142,-0.6546645491761173,AC,938,4689.639728140509,4504.568741788422,4988.932869602058,1,8,CA,309,0,BA,0,1,-1,0,1500.0,0,INTERNET,7.0522186025787805,windows,0,1,0,3
1,0.9,0.2825477014900954,-1,144,40,0.02482102648276816,-0.5153781313515805,AB,1491,5397.779043460868,3632.874596362563,4026.946392002311,32,10,CA,89,1,BB,1,1,1,0,200.0,0,INTERNET,6.3088995393017875,macintosh,0,1,0,6
1,0.9,0.7742688887899939,-1,159,50,0.029313424942854268,-1.2254982922167992,AD,792,593.0217242539018,2771.366618113757,4322.395802808382,19,3,CB,339,1,BA,1,1,10,0,1500.0,0,INTERNET,4.787347869118143,windows,0,1,0,6
1,0.1,0.4190406805908975,-1,126,50,0.0034791385170123324,-0.9565955370870678,AC,4381,6620.517196695702,3733.396889289219,6004.827127354897,0,5,CA,192,1,BA,1,1,-1,1,1500.0,0,INTERNET,3.364407216417408,windows,1,1,0,0
1,0.4,0.1863072752774859,-1,83,30,0.015815250343234832,-0.9890844074594092,AD,606,9083.91660216439,5026.090980611083,4293.221971091042,1680,9,CA,186,1,BE,1,1,25,0,200.0,0,INTERNET,8.21510276684289,other,1,1,0,0
1,0.30000000000000004,0.8779837751784019,-1,34,50,0.007144803596127375,-1.0353504920273329,AB,2643,7400.544768264687,6389.06803671861,5964.332181282448,21,20,CA,243,1,BC,0,1,25,0,1500.0,0,INTERNET,4.6359346793719975,linux,1,1,0,0
1,0.9,0.03401843135994044,-1,355,50,0.02062628848184801,-1.0713392073363344,AB,2452,8672.174296329493,5813.256533376113,6298.168841316317,13,22,CA,156,0,BB,1,1,20,0,1500.0,0,INTERNET,1.551637041244364,windows,0,1,0,1
1,0.5,0.14264114440170486,-1,279,50,0.0015676557413929096,-0.38354544466754814,AC,4422,7662.2748128054345,4602.231020750256,6082.88814936129,0,1,CB,193,1,BA,1,1,-1,0,1000.0,0,INTERNET,12.21471079332196,windows,1,1,0,0
1,0.7000000000000001,0.5346793546071104,-1,121,50,0.01680033269253645,-1.0756529075448529,AC,1044,4700.2055977894515,3548.6697751037736,5177.468262871922,1,8,CA,283,0,BA,0,1,-1,0,1500.0,0,INTERNET,4.7722630816438665,windows,1,1,0,2
1,0.7000000000000001,0.09856982124541427,-1,187,50,0.010166680198494385,-0.5253057861860554,AB,1974,4065.273502546865,4733.854565958274,4937.1594495431045,11,4,CB,191,0,BA,0,1,25,0,500.0,0,INTERNET,2.8080185844836487,windows,0,1,0,4
1,0.1,0.102269071856567,-1,255,50,0.020685320021406675,-1.4027046471903173,AD,519,9503.929889620922,7017.397218097741,4988.458196625284,30,1,CA,173,1,BA,1,0,1,0,1500.0,0,INTERNET,2.0865794468388508,windows,1,1,0,6
1,0.9,0.10623905896572686,-1,67,50,0.018584282567746045,-1.0624044715101326,AD,3767,3730.704278358323,7615.773090625732,5226.00967418995,33,2,CB,117,1,BC,1,0,30,0,200.0,0,INTERNET,7.692534289729108,linux,1,1,0,2
1,0.9,0.14934813517353931,-1,112,60,0.010212446941101114,-0.9100815715597912,AC,1183,6170.493776234333,4285.399060002988,4903.395035550164,0,2,CB,67,0,BA,0,1,9,0,200.0,0,INTERNET,3.4707096108153905,linux,0,1,0,4
1,0.9,0.8817989085751274,-1,101,10,0.008881337026245342,20.069898389953426,AA,2370,7321.573614666657,6014.6162358838255,6312.629400150346,2,8,CB,142,0,BA,0,1,15,0,200.0,1,INTERNET,5.368542276613082,other,0,1,0,3
1,0.9,0.2784700641735929,152,7,50,0.00294408618021854,-1.0408522698733005,AB,1799,2778.801038720132,7497.316010910759,5150.776300211276,10,3,CA,118,1,BB,0,1,28,0,200.0,0,INTERNET,2.134412246444977,windows,0,2,0,3
1,0.5,0.0860990115513722,-1,125,60,2.263722052331977,-1.6467607092085876,AC,1650,7295.835087798913,7458.998778000337,5209.392174291919,1,4,CA,126,1,BA,0,1,-1,0,200.0,0,INTERNET,6.13688050983751,windows,1,1,0,3
1,0.8,0.07778852686936158,-1,49,40,0.0017103739605024062,-0.5892680386524769,AB,1345,4087.1875923728803,3026.881849616108,3092.188386816745,1,8,CA,224,1,BA,0,1,30,0,2000.0,0,INTERNET,15.049616214008065,linux,0,1,0,7
