Keywords_relevance,Hashtags_relevance,binary_Mentions_relevance,Interaction_rate,Mention_count,Followers_Followings,Seniority,Listed_count,Length,binary_Hashtags,binary_URL,binary_Multimdia,Popularity,Relevance
0,0,0,0,0,3,8,300,85,0,1,0,1,0
0,0,0,0,0,2,5,195,70,0,1,0,6,1
0,1,0,1,1,2,5,195,79,1,0,1,287,0
0,0,0,0,0,484,8,4632,120,0,1,0,33,0
0,0,0,0,0,1,4,28,106,0,0,1,4,1
0,0,0,0,0,957,8,1144,137,0,1,0,11,0
0,0,0,0,0,957,8,1144,129,0,1,0,4,0
0,0,0,0,0,129,7,544,135,1,1,0,25,1
0,0,0,0,0,1562,8,584,120,0,1,0,3,0
0,0,0,0,0,7,7,245,120,0,1,0,2,0
0,0,0,1,0,129,7,544,136,0,1,0,21,1
0,0,0,0,0,0,3,16,118,1,0,0,5,0
0,0,0,0,0,957,8,1144,131,0,1,0,9,0
0,0,0,1,0,129,7,544,132,0,1,0,15,1
0,0,0,0,0,957,8,1144,137,0,1,0,22,0
0,0,0,0,0,957,8,1144,126,0,1,0,3,0
1,1,0,1,0,129,7,544,136,1,1,0,42,1
0,0,0,0,0,957,8,1144,134,0,1,0,2,0
0,0,0,0,0,22,8,912,90,0,1,0,1,0
0,0,0,0,0,10023,7,18773,60,0,1,0,2745,1
0,0,0,0,0,957,8,1144,134,0,1,0,15,0
0,0,0,0,0,957,8,1144,129,0,1,0,3,0
0,0,0,0,0,432,4,3613,80,0,0,0,442,1
0,0,0,0,0,1562,8,584,113,0,1,0,2,0
0,0,0,0,0,3,8,300,138,0,0,0,2,0
0,0,0,1,0,129,7,544,68,0,1,0,43,1
0,0,0,0,0,957,8,1144,126,0,1,0,8,0
0,0,0,0,0,957,8,1144,134,0,1,0,9,0
1,0,0,1,0,432,4,3613,131,1,1,0,310,1
0,0,0,0,0,957,8,1144,134,0,1,0,6,0
0,0,0,0,0,1,0,33,113,1,0,1,5,0
0,0,0,1,0,129,7,544,136,1,0,1,39,1
0,0,0,0,0,3,8,300,50,0,0,0,2,0
0,0,0,0,0,2,1,67,102,1,1,0,1,0
0,0,0,1,0,129,7,544,128,1,0,1,303,1
0,0,0,0,0,4,4,346,105,1,1,0,12,0
0,0,0,0,0,957,8,1144,126,0,1,0,1,0
3,0,0,1,0,129,7,544,137,0,1,0,17,1
3,0,0,0,0,10,5,74,133,1,1,0,0,0
0,0,0,0,0,3,8,300,70,0,0,0,0,0
0,0,0,1,0,129,7,544,139,0,1,0,84,1
0,0,0,0,0,957,8,1144,139,0,1,0,7,0
2,0,0,0,0,2,1,67,103,1,1,0,0,0
0,0,0,1,0,129,7,544,81,1,0,1,35,1
0,0,0,0,0,2,4,45,111,1,0,1,18,0
0,0,0,0,0,0,3,16,96,0,0,1,0,0
0,0,0,1,1,1,4,28,137,0,0,0,6,1
0,0,0,1,0,432,4,3613,139,0,0,1,1167,1
0,0,0,1,0,432,4,3613,136,0,1,0,495,0
0,0,0,0,0,1,0,33,71,0,1,0,3,0
0,0,0,1,1,1,4,28,140,0,0,0,2,1
0,0,0,0,0,3,8,300,131,0,1,0,4,0
0,0,0,0.5,1,2,5,195,93,1,1,0,5,0
3,0,0,0,0,2,1,67,137,1,1,0,5,1
1,1,0,0.33,1,2,5,195,128,1,0,0,45,0
2,0,0,0,0,4,4,346,118,0,1,0,35,0
1,1,0,1,1,1,4,28,102,1,0,0,3,1
0,0,0,1,0,129,7,544,138,1,1,0,42,1
2,1,0,0.33,0,2,1,67,92,1,1,0,0,0
0,0,0,0,0,8,2,283,126,1,1,0,4,0
0,2,0,0,0,9,6,35,140,1,0,1,73,1
0,0,0,1,0,9,6,35,137,0,0,1,8,0
0,0,0,0,0,3,8,300,84,1,0,0,7,0
0,0,0,1,0,129,7,544,130,1,0,1,36,1
0,5,0,1,0,129,7,544,135,1,1,0,13,1
0,0,0,0,0,87,9,3758,137,0,1,0,187,0
0,6,0,0.5,0,9,6,35,126,1,0,1,2,0
0,8,0,1,0,129,7,544,136,1,0,1,151,1
0,11,0,1,0,129,7,544,127,1,0,1,46,1
0,14,0,1,0,129,7,544,74,1,1,0,37,1
0,0,0,0,0,1,0,33,139,1,0,1,4,0
0,0,0,0.33,0,9,6,35,122,0,0,0,2,0
0,5,0,1,0,129,7,544,95,1,0,1,25,1
0,0,0,0.25,0,9,6,35,114,0,0,0,1,0
3,6,0,1,0,129,7,544,127,1,1,0,24,1
1,0,0,0.2,0,9,6,35,118,0,0,0,1,0
0,0,0,0,0,87,9,3758,94,0,1,0,39,0
1,7,0,1,0,129,7,544,121,1,1,0,38,1
0,0,0,0.17,0,9,6,35,104,0,0,0,13,1
1,9,0,1,0,129,7,544,110,1,0,1,197,1
1,0,0,0.29,0,9,6,35,125,0,0,0,2,0
0,0,0,0,0,51159,7,20969,78,0,0,1,2423,0
0,9,0,1,0,129,7,544,138,1,0,1,37,1
0,0,0,0.25,0,9,6,35,140,0,0,0,5,0
0,12,0,1,0,129,7,544,135,1,0,1,44,1
0,11,0,1,0,129,7,544,137,1,0,1,24,1
0,1,0,0.25,0,2,1,67,128,1,0,1,2,0
0,12,0,1,0,129,7,544,140,1,1,0,26,1
0,13,0,1,0,129,7,544,125,1,0,1,16,1
0,1,0,0,0,0,3,7,129,1,0,1,0,0
0,0,0,0,0,3,8,300,51,0,1,0,4,0
0,14,0,1,0,129,7,544,135,1,1,0,19,1
0,0,0,0.2,0,2,1,67,140,1,0,1,4,0
0,0,0,0,0,3,8,300,29,0,0,0,2,0
0,0,0,0.25,1,2,5,195,84,1,1,0,8,1
0,0,0,0,0,1,0,33,113,1,0,1,9,0
5,0,0,1,0,129,7,544,132,0,1,0,17,0
0,0,0,0.4,1,2,5,195,103,0,0,0,55,1
0,0,0,0,0,0,5,1,82,1,0,1,1,1
0,0,0,0,0,484,8,4632,137,1,1,0,197,0
1,0,0,0.17,0,2,1,67,140,1,0,1,1,0
0,0,0,0.22,0,9,6,35,140,0,0,1,65,1
0,0,0,0.14,0,2,1,67,55,1,0,0,1,0
0,3,0,0.96,0,129,7,544,139,1,1,0,50,1
2,1,0,0.3,0,9,6,35,140,1,0,0,2,0
0,1,0,0.27,0,9,6,35,139,1,0,0,5,1
0,0,0,0.13,0,2,1,67,98,1,0,0,2,0
1,0,0,0,0,22,8,912,71,1,1,0,2,0
1,2,0,0.33,0,9,6,35,137,1,0,1,14,1
0,0,0,0.11,0,2,1,67,133,1,0,0,7,0
0,0,0,0,0,342146,7,39624,76,0,1,0,12848,0
0,0,0,0.5,1,2,5,195,138,0,0,1,125,1
0,0,0,0.57,1,2,5,195,27,0,1,0,0,0
2,0,0,0,0,1562,8,584,115,0,1,0,2,0
6,0,0,0.96,0,129,7,544,134,0,1,0,23,1
0,0,0,0,0,8,2,283,134,0,1,0,4,0
2,0,0,0.1,0,2,1,67,131,1,1,0,4,0
0,3,0,0.97,0,129,7,544,57,1,0,1,37,1
1,0,0,0.09,0,2,1,67,136,1,0,1,2,0
0,0,0,0,0,15,4,217,64,0,1,0,14,0
1,0,0,0,0,342146,7,39624,62,0,0,0,8023,1
2,0,0,0.5,0,342146,7,39624,103,0,0,0,4175,0
2,0,0,0,0,1562,8,584,116,0,1,0,3,0
1,0,0,0.33,0,342146,7,39624,90,0,1,0,7295,1
0,0,0,0.75,0,432,4,3613,84,0,0,1,298,0
0,0,0,0.5,1,2,5,195,135,1,0,1,33,1
0,0,0,0.6,0,432,4,3613,111,0,0,1,294,0
0,0,0,0,0,1,0,33,111,1,1,0,5,0
1,5,0,0.97,0,129,7,544,121,1,0,1,106,1
0,5,0,1,1,1,4,28,137,1,1,0,10,1
0,0,0,0.08,0,2,1,67,62,1,0,0,1,0
0,0,0,0.08,0,2,1,67,137,1,1,0,4,1
1,0,0,0,0,3,8,300,138,0,0,0,3,0
0,0,0,0,0,18901,6,11556,138,0,1,0,1031,0
0,0,0,0.97,0,129,7,544,124,0,1,0,9,1
0,0,0,0,0,51159,7,20969,101,1,0,1,1930,0
0,0,0,0.5,0,432,4,3613,41,0,0,1,163,0
0,0,0,0,0,484,8,4632,132,1,1,0,65,1
1,0,0,0.33,0,484,8,4632,136,1,1,0,51,0
0,0,0,0,0,10,5,74,64,0,1,0,0,0
2,0,0,0.97,0,129,7,544,133,0,1,0,26,1
0,0,0,0,0,10,5,74,89,0,1,0,0,0
0,0,0,0,0,28,7,541,72,1,0,1,3,0
0,0,0,0.97,0,129,7,544,97,0,1,0,11,1
0,0,0,0.25,0,484,8,4632,132,1,1,0,180,0
